Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),Molar Volume (25C),A,B,C,Vapor Presure mmHg (25C),Surface Area [Jmol] (A^2/molecule),Volume [Jmol] (A^3/molecule),q [Jmol],r [Jmol],Classification,"-OH, N, X groups take precedence over aromatic/aliphatic constituents"
1,1-butanol,71-36-3,692,n-butyl alcohol,C4H10O,CCCCO,91.96,7.29062,1282.84617,173.247,6.602158903,113.5546679420960,79.6336460986264,2.735597879,3.161272419,2,
2,1-decanol,112-30-1,1869,decyl alcohol,C10H22O,CCCCCCCCCCO,191.9,7.02966,1579.81663,149.864,0.009888519734,220.2613560285440,171.9218850753640,5.306223947,6.824903043,2,
3,1-hexanol,111-27-3,1158,hexyl alcohol,C6H14O,CCCCCCO,125.2,7.34230,1538.75868,187.498,1.261896483,152.7536650560530,110.2400885769190,3.679924477,4.376277724,2,
4,1-octanol,111-87-5,1572,octyl alcohol,C8H18O,CCCCCCCCO,158.2,7.16033,1536.79417,163.905,0.1059382032,185.7655899465830,141.3532420884850,4.475200914,5.611398291,2,
5,1-pentanol,71-41-0,906,amyl alcohol,C5H12O,CCCCCO,108.6,7.21775,1333.95984,169.781,2.340152592,133.0107841101350,94.9385067075642,3.204307013,3.768840151,2,
6,1-propanol,71-23-8,483,propyl alcohol,C3H8O,CCCO,74.93,7.77370,1518.15892,213.076,24.94175072,93.9464698720485,64.2858197292516,2.263225003,2.551999046,2,
7,"2,2,2-trifluoroethanol",75-89-8,270,,C2H3F3O,C(C(F)(F)F)O,72.274,7.65885,1328.08181,203.622,70.75671846,93.3531885121062,64.9479115598972,2.248932511,2.578282567,2,
8,"2,2,4-trimethylpentane",540-84-1,1562,isooctane,C8H18,CC(C)CC(C)(C)C,165.6,6.99021,1358.75288,231.406,49.09007035,172.4492845346960,132.5492477492940,4.154403386,5.261899984,6,
9,"2,6-dimethylpyridine",108-48-5,1280,,C7H9N,CC1=NC(=CC=C1)C,116.7,7.16488,1526.96129,212.378,5.398341638,136.7301437835440,105.5380980629820,3.293908547,4.189619526,8,
10,2-heptanone,110-43-0,1338,,C7H14O,CCCCCC(=O)C,140.8,7.16065,1551.82218,211.559,3.987297005,164.6727453600260,121.3146572667820,3.967062042,4.815912606,3,
11,2-methylpentane,107-83-5,1145,,C6H14,CCCC(C)C,133,7.07893,1274.63885,243.362,213.414614,139.8784388310190,102.0332630737940,3.369752802,4.050485645,6,
12,2-methylpyridine,109-06-8,999,,C6H7N,CC1=CC=CC=N1,99.07,7.15496,1505.99142,222.949,12.0547591,117.6875878804710,90.2297890964970,2.835162319,3.581914902,8,
13,2-propanol,67-63-0,484,isopropanol,C3H8O,CC(C)O,76.75,7.83056,1483.30420,217.413,51.47970639,93.7119794024522,64.2726009866614,2.257575991,2.551474292,2,
14,3-methylpyridine,108-99-6,1000,,C6H7N,CC1=CN=CC=C1,97.82,7.10475,1521.85828,216.154,6.22329737,117.5078986724330,90.2619810243680,2.830833502,3.583192848,8,
15,4-heptanone,123-19-3,1340,,C7H14O,CCCC(=O)CCC,140.7,6.72863,1163.75090,158.444,2.425128953,164.4759492740610,121.1518182031900,3.96232111,4.80944827,3,
16,4-methyl-2-pentanone,108-10-1,1100,isobutyl methyl ketone,C6H12O,CC(C)CC(=O)C,125.8,7.15972,1421.73164,216.266,18.48894668,142.9873079315810,105.9697992720330,3.444647264,4.20675707,3,
17,acetone,67-64-1,440,2-propanone,C3H6O,CC(=O)C,73.89,7.31414,1315.67347,240.479,228.1898387,87.6734293502486,60.0359810129933,2.112103815,2.383290233,3,
18,acetonitrile,75-05-8,272,acetic acid nitrile,C2H3N,CC#N,52.7,7.54662,1583.97885,257.887,88.56844765,66.0648815058056,43.3516027246538,1.591541352,1.720958825,8,
19,benzene,71-43-2,986,phene,C6H6,C1=CC=CC=C1,89.48,6.81404,1090.43118,197.146,80.42875208,102.6061167536380,78.9908041377978,2.471840924,3.135753073,7,
20,benzonitrile,100-47-0,1236,benzoic acid nitrile,C7H5N,C1=CC=C(C=C1)C#N,103,7.36682,1868.29753,225.472,0.8085678911,124.0842118654770,96.9265676350390,2.989260705,3.847761593,8,
21,benzyl alcohol,100-51-6,1269,alpha-hydroxy toluene,C7H8O,C1=CC=C(C=C1)CO,103.9,7.92338,2060.53232,203.928,0.08367134369,131.6077903810350,102.5313991842090,3.17050808,4.070260502,2,
22,bromobenzene,108-86-1,969,,C6H5Br,C1=CC=C(C=C1)Br,105.6,7.13213,1615.76396,223.972,4.389229576,123.9163283858900,97.0460453344324,2.985216295,3.852504583,8,
23,carbon tetrachloride,56-23-5,145,tetrachloromethane,CCl4,C(Cl)(Cl)(Cl)Cl,97.17,7.01144,1278.54478,232.888,113.159234,112.5894294613890,84.2217265571574,2.712344723,3.343408651,8,
24,chlorobenzene,108-90-7,971,,C6H5Cl,C1=CC=C(C=C1)Cl,102.2,7.18342,1574.53374,234.229,12.86780743,119.9433614628920,93.5076791629253,2.889505215,3.712039592,8,
25,cyclohexane,110-82-7,1074,hexamethylene,C6H12,C1CCCCC1,108.9,6.89019,1200.94736,218.815,92.1581242,120.6969137297360,92.3920540829446,2.907658726,3.667751844,7,
26,cyclopentane,287-92-3,823,pentamethylene,C5H10,C1CCCC1,93.51,7.04267,1202.52990,239.690,315.8773985,104.6855036868070,77.7932374213260,2.521934562,3.088212432,7,
27,cyclopentanol,96-41-3,837,cyclopentyl alcohol,C5H10O,C1CCC(C1)O,90.782,8.05816,1820.58163,211.254,2.249619539,114.1026681016430,86.0748243180933,2.748799521,3.416972366,2,
28,dibutyl ether,142-96-1,1565,,C8H18O,CCCCOCCCC,170.5,7.26955,1602.14538,224.059,6.866627497,188.7940476241790,141.4998358410780,4.548158218,5.617217725,3,
29,dichloromethane,75-09-2,173,methylene chloride,CH2Cl2,C(Cl)Cl,64.44,7.11464,1152.41364,232.442,434.7486204,79.5154920299432,54.8632906035582,1.915574368,2.177946332,8,
30,diethyl ether,60-29-7,694,,C4H10O,CCOCC,104.7,7.04631,1112.55032,232.657,535.0065427,113.6306503999290,79.9116193239315,2.73742834,3.172307316,3,
31,diethylamine,109-89-7,723,,C4H11N,CCNCC,104.2,6.55695,829.06634,170.077,202.7667747,117.7918263953080,82.6072130486015,2.837673486,3.279316182,8,
32,dimethyl sulfoxide,67-68-5,320,,C2H6OS,CS(=O)C,71.36,7.23168,1733.51558,207.580,0.6001644048,96.0831843292153,67.4572873958907,2.314699695,2.677899011,8,
33,ethanol,64-17-5,317,,C2H6O,CCO,58.54,8.13484,1662.48419,238.131,65.57752441,74.6817866037888,48.9377745783385,1.799127598,1.942716987,2,
34,isobutanol,78-83-1,696,"2-methyl-1-propanol, isobutyl alcohol",C4H10O,CC(C)CO,93,7.16064,1164.33346,164.392,10.30107877,111.8268004391840,79.5495831200102,2.693972547,3.157935313,2,
35,methanol,67-56-1,194,carbinol,CH4O,CO,40.714,8.09126,1582.91076,239.096,125.1864921,54.9250451758417,33.6144498515301,1.323176227,1.334416273,2,
36,m-xylene,108-38-3,1435,"1,3-dimethylbenzene",C8H10,CC1=CC(=CC=C1)C,123.307,7.18115,1573.02431,226.671,8.527560211,141.4250328981750,109.5265405113440,3.407011151,4.347951509,7,
37,heptane,142-82-5,1366,,C7H16,CCCCCCC,146.927,7.04605,1341.88869,223.733,44.78880238,161.9480518242490,117.2329717008430,3.901422593,4.653879085,6,
38,hexadecane,544-76-3,2079,,C16H34,CCCCCCCCCCCCCCCC,294.086,7.36235,2094.07623,180.407,0.001470915941,330.2209653133520,256.0698705952510,7.955214775,10.16538434,6,
39,hexane,110-54-3,1144,,C6H14,CCCCCC,131.368,6.98950,1216.91535,227.451,147.6044021,141.5162820693400,102.0398205627710,3.409209397,4.050745963,6,
40,nitroethane,79-24-3,308,,C2H5NO2,CC[N+](=O)[O-],71.973,7.52569,1645.14823,240.115,20.90681261,94.2386769016632,64.3947515083879,2.27026444,2.556323387,8,
41,nitromethane,75-52-5,189,,CH3NO2,C[N+](=O)[O-],54.066,7.53850,1588.82733,239.919,34.76175969,74.5942177702708,49.0634256533461,1.797018014,1.947705046,8,
